ligand,binding score,energy
PVHUJELLJLJGLN-INIZCTEOSA-N,1156762.62,-6.8
LGAJOMLFGCSBFF-OLXDQKQCSA-N,359395.43,-9.4
NETZHAKZCGBWSS-CEDHKZHLSA-N,298695.91,-7.7
AJOQSQHYDOFIOX-SECBINFHSA-N,385124.45,-7.2
LCAAMXMULMCKLJ-UHFFFAOYSA-N,670106.88,-7.9
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1222141.03,-5.8
BUGYDGFZZOZRHP-CDECOKDKSA-N,715896.88,-6.4
LEVWYRKDKASIDU-IMJSIDKUSA-N,1847075.68,-4.9
BMOVQUBVGICXQN-MKPDMIMOSA-N,808912.26,-7.7
KWGRBVOPPLSCSI-WPRPVWTQSA-N,517452.83,-5.9
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,398471.73,-8.4
GZUITABIAKMVPG-UHFFFAOYSA-N,403558.36,-10.1
DKGZKTPJOSAWFA-UHFFFAOYSA-N,300582.46,-8.9
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1291097.55,-6.0
VWVSBHGCDBMOOT-IIEHVVJPSA-N,332920.49,-8.5
FEWJPZIEWOKRBE-JCYAYHJZSA-N,459971.23,-5.2
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1133138.14,-5.2
WOFMFGQZHJDGCX-ZULDAHANSA-N,476372.83,-8.1
HJPHIJVSRJVAGC-SSDOTTSWSA-N,938827.39,-4.3
OIRCOABEOLEUMC-GEJPAHFPSA-N,641474.76,-1.4
JFPVXVDWJQMJEE-IZRZKJBUSA-N,870268.46,-7.6
SLYPOVJCSQHITR-UHFFFAOYSA-N,677595.04,-6.0
FBPFZTCFMRRESA-JGWLITMVSA-N,456039.67,-5.1
IMYZQPCYWPFTAG-YWVKMMECSA-N,594295.22,-5.8
WWZKQHOCKIZLMA-UHFFFAOYSA-N,449536.86,-5.0
WDICTQVBXKADBP-UHFFFAOYSA-N,462565.04,-6.6
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1250455.07,-4.9
QTQPVLDZQVPLGV-AWEZNQCLSA-N,479483.24,-7.4
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,767307.65,-8.8
NJCJBUHJQLFDSW-UHFFFAOYSA-N,557413.82,-7.4
HTJXMOGUGMSZOG-UHFFFAOYSA-N,676161.73,-7.7
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,411930.47,-8.2
KRMDCWKBEZIMAB-UHFFFAOYSA-N,866285.7,-7.4
HNDVDQJCIGZPNO-YFKPBYRVSA-N,968739.96,-5.3
UDMBCSSLTHHNCD-KQYNXXCUSA-N,401624.74,-7.4
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1118671.28,-6.7
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1010034.75,-6.4
PFTAWBLQPZVEMU-DZGCQCFKSA-N,683018.9,-8.7
TZADDXVKYWMEHX-YFKPBYRVSA-N,1333717.95,-5.5
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1151981.57,-6.2
XXVROGAVTTXONC-NSHDSACASA-N,350773.54,-5.6
YFDSDPIBEUFTMI-UHFFFAOYSA-N,415644.96,-3.7
YMFIJXDFAPHJIN-SECBINFHSA-N,658196.77,-6.8
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,312417.34,-7.1
PYVUMAGVCSQCBD-RFAUZJTJSA-N,652506.09,-9.8
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1033522.36,-8.2
AKUJBENLRBOFTD-QZIXMDIESA-N,676682.01,-8.8
XCPGHVQEEXUHNC-UHFFFAOYSA-N,803041.43,-8.3
YGCODSQDUUUKIV-UHFFFAOYSA-N,792505.15,-5.9
ATXHVCQZZJYMCF-XUDSTZEESA-N,341709.55,-8.4
RUOKEQAAGRXIBM-GFCCVEGCSA-N,666243.61,-6.7
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1277176.32,-7.8
OUDSBRTVNLOZBN-UHFFFAOYSA-N,917241.78,-8.0
FFINMCNLQNTKLU-UHFFFAOYSA-N,1278809.0,-7.3
RGHNJXZEOKUKBD-SQOUGZDYSA-N,497533.03,-5.4
HTQBXNHDCUEHJF-XWLPCZSASA-N,425037.81,-2.1
MKKYBZZTJQGVCD-XTCKQBCOSA-N,731087.04,-6.9
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1672633.3,-5.9
IVVNZDGDKPTYHK-JTQLQIEISA-N,557072.51,-6.8
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,1004242.45,-7.9
VXOWJCTXWVWLLC-REGDIAEZSA-N,804635.04,-8.3
KAJZGRFYZKWYDX-UHFFFAOYSA-N,777823.94,-6.8
JZRWCGZRTZMZEH-UHFFFAOYSA-N,278909.67,-6.3
AIZFEOPQVZBNGH-UHFFFAOYSA-N,415501.64,-7.7
LOUPRKONTZGTKE-WZBLMQSHSA-N,642135.67,-7.4
CDAISMWEOUEBRE-GPIVLXJGSA-N,464357.33,-5.9
YEHCICAEULNIGD-MZMPZRCHSA-N,501423.44,-7.7
JBACAGZMXLDQCR-UHFFFAOYSA-N,1159608.55,-7.1
XRQDFNLINLXZLB-CKIKVBCHSA-N,999947.48,-6.9
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,424164.26,-1.0
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1969952.8,-5.3
UMSGKTJDUHERQW-UHFFFAOYSA-N,1007920.73,-7.2
UJEWTUDSLQGTOA-UHFFFAOYSA-N,843927.33,-6.3
PMMYEEVYMWASQN-DMTCNVIQSA-N,444646.44,-4.9
OVJJILSKYWXGBM-GFCCVEGCSA-N,462532.99,-6.6
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1079209.07,-6.0
XIUUSFJTJXFNGH-OLQVQODUSA-N,772877.28,-5.8
VQHSOMBJVWLPSR-JVCRWLNRSA-N,379550.11,-6.7
YRIZYWQGELRKNT-UHFFFAOYSA-N,1292528.18,-5.4
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,470708.05,-7.0
JYGXADMDTFJGBT-VWUMJDOOSA-N,1151043.83,-8.3
OAYRYNVEFFWSHK-UHFFFAOYSA-N,614282.53,-6.9
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1074341.22,-7.8
QYKIQEUNHZKYBP-UHFFFAOYSA-N,2031967.72,-3.1
IQADUMSPOQKAAO-UHFFFAOYSA-N,1194729.14,-6.4
NIJJYAXOARWZEE-UHFFFAOYSA-N,1296590.56,-5.0
NPOAOTPXWNWTSH-UHFFFAOYSA-N,408910.33,-5.4
