ligand,E1,E2,E3
SNWQKAWITMVCQW-UHFFFAOYSA-N,-7.8,-7.5,-9.0
JTUQXGZRVLWBCR-GOSISDBHSA-N,-7.3,-7.4,-8.6
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-6.9,-6.7,-7.3
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-5.4,-6.2,-6.4
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-6.3,-6.4,-6.3
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.6,-5.5,-5.9
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-6.6,-6.0,-6.8
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-6.0,-5.8,-7.2
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-7.7,-7.6,-8.2
BQJODPIMMWWMFC-UHFFFAOYSA-N,-5.7,-6.2,-6.2
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.9,-6.7,-6.9
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-6.2,-6.3,-7.6
XSVMFMHYUFZWBK-NSHDSACASA-N,-5.9,-6.3,-6.3
UISARWKNNNHPGI-INIZCTEOSA-N,-6.7,-6.6,-7.1
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.0,-5.2,-5.3
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.0,-4.9,-5.2
WSSJONWNBBTCMG-NWDGAFQWSA-N,-7.2,-7.9,-7.8
JMUHBNWAORSSBD-WKYWBUFDSA-N,-3.2,-3.4,-3.4
QADHLRWLCPCEKT-LOVVWNRFSA-N,-7.8,-7.4,-8.2
VWYQKFLLGRBICZ-UHFFFAOYSA-N,-6.0,-6.1,-6.3
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-5.6,-6.2,-6.1
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-6.6,-6.6,-7.9
FLGCRGJDQJIJAW-INIZCTEOSA-N,-7.8,-7.9,-8.7
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-5.7,-5.8,-6.9
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.7,-5.6,-5.9
