ligand,binding score,energy
HJPHIJVSRJVAGC-SSDOTTSWSA-N,845891.47,-4.3
VWVSBHGCDBMOOT-IIEHVVJPSA-N,348381.62,-8.6
WOFMFGQZHJDGCX-ZULDAHANSA-N,499286.96,-8.1
BMOVQUBVGICXQN-MKPDMIMOSA-N,843328.25,-7.9
WWZKQHOCKIZLMA-UHFFFAOYSA-N,241768.44,-5.0
FEWJPZIEWOKRBE-JCYAYHJZSA-N,258403.71,-5.2
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1148549.28,-5.2
SLYPOVJCSQHITR-UHFFFAOYSA-N,641151.76,-6.0
FBPFZTCFMRRESA-JGWLITMVSA-N,238043.62,-5.3
BUGYDGFZZOZRHP-CDECOKDKSA-N,717620.54,-6.4
IMYZQPCYWPFTAG-YWVKMMECSA-N,605285.56,-5.8
LGAJOMLFGCSBFF-OLXDQKQCSA-N,353558.35,-9.3
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1331779.51,-5.8
KWGRBVOPPLSCSI-WPRPVWTQSA-N,237776.34,-5.9
DKGZKTPJOSAWFA-UHFFFAOYSA-N,315225.28,-9.0
JFPVXVDWJQMJEE-IZRZKJBUSA-N,902537.29,-7.6
AJOQSQHYDOFIOX-SECBINFHSA-N,191377.21,-7.2
NETZHAKZCGBWSS-CEDHKZHLSA-N,313242.09,-7.7
OIRCOABEOLEUMC-GEJPAHFPSA-N,670550.05,-1.4
LEVWYRKDKASIDU-IMJSIDKUSA-N,1897733.51,-5.1
PVHUJELLJLJGLN-INIZCTEOSA-N,1201074.59,-6.8
LCAAMXMULMCKLJ-UHFFFAOYSA-N,701727.62,-7.4
GZUITABIAKMVPG-UHFFFAOYSA-N,420787.34,-9.9
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,393981.44,-8.5
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1261878.14,-5.8
XXVROGAVTTXONC-NSHDSACASA-N,148801.96,-5.8
HNDVDQJCIGZPNO-YFKPBYRVSA-N,988228.96,-5.3
AKUJBENLRBOFTD-QZIXMDIESA-N,705950.1,-8.8
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1164148.9,-6.7
YMFIJXDFAPHJIN-SECBINFHSA-N,680108.7,-6.6
HTJXMOGUGMSZOG-UHFFFAOYSA-N,684353.1,-7.4
YGCODSQDUUUKIV-UHFFFAOYSA-N,353653.81,-5.8
TZADDXVKYWMEHX-YFKPBYRVSA-N,1318447.62,-5.5
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1072567.65,-8.0
