ligand,binding score,energy
LEVWYRKDKASIDU-IMJSIDKUSA-N,1863272.54,-5.4
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1307557.3,-5.8
VWVSBHGCDBMOOT-IIEHVVJPSA-N,337245.75,-9.0
OIRCOABEOLEUMC-GEJPAHFPSA-N,650420.87,-1.4
BUGYDGFZZOZRHP-CDECOKDKSA-N,725151.91,-6.2
GZUITABIAKMVPG-UHFFFAOYSA-N,409632.89,-10.1
FBPFZTCFMRRESA-JGWLITMVSA-N,451503.11,-5.4
FEWJPZIEWOKRBE-JCYAYHJZSA-N,411944.39,-4.8
JFPVXVDWJQMJEE-IZRZKJBUSA-N,882160.23,-7.6
IMYZQPCYWPFTAG-YWVKMMECSA-N,598977.45,-5.6
WWZKQHOCKIZLMA-UHFFFAOYSA-N,386218.11,-5.0
LGAJOMLFGCSBFF-OLXDQKQCSA-N,355618.17,-8.9
AJOQSQHYDOFIOX-SECBINFHSA-N,315608.82,-7.3
NETZHAKZCGBWSS-CEDHKZHLSA-N,302996.93,-8.2
BMOVQUBVGICXQN-MKPDMIMOSA-N,820440.66,-8.4
KWGRBVOPPLSCSI-WPRPVWTQSA-N,440879.07,-6.0
WOFMFGQZHJDGCX-ZULDAHANSA-N,482974.0,-8.2
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,401667.82,-8.4
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1143183.45,-5.1
HJPHIJVSRJVAGC-SSDOTTSWSA-N,894369.19,-4.1
SLYPOVJCSQHITR-UHFFFAOYSA-N,675311.05,-5.9
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1238621.91,-5.8
PVHUJELLJLJGLN-INIZCTEOSA-N,1171071.06,-7.0
DKGZKTPJOSAWFA-UHFFFAOYSA-N,305340.9,-9.0
LCAAMXMULMCKLJ-UHFFFAOYSA-N,679330.11,-7.5
PYVUMAGVCSQCBD-RFAUZJTJSA-N,661511.07,-9.1
YFDSDPIBEUFTMI-UHFFFAOYSA-N,333332.47,-3.7
QTQPVLDZQVPLGV-AWEZNQCLSA-N,478477.03,-7.4
TZADDXVKYWMEHX-YFKPBYRVSA-N,1334735.18,-5.5
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1021980.82,-6.3
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1131627.07,-7.2
WDICTQVBXKADBP-UHFFFAOYSA-N,459511.85,-6.3
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1264528.95,-4.9
YMFIJXDFAPHJIN-SECBINFHSA-N,665218.18,-7.0
HTJXMOGUGMSZOG-UHFFFAOYSA-N,680266.32,-7.3
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,318014.21,-6.9
XCPGHVQEEXUHNC-UHFFFAOYSA-N,815975.22,-8.6
AKUJBENLRBOFTD-QZIXMDIESA-N,685509.46,-8.4
YGCODSQDUUUKIV-UHFFFAOYSA-N,679515.73,-6.0
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1047165.97,-7.3
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,777253.42,-8.2
PFTAWBLQPZVEMU-DZGCQCFKSA-N,694174.54,-8.6
HNDVDQJCIGZPNO-YFKPBYRVSA-N,982187.92,-5.2
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1164986.4,-6.4
XXVROGAVTTXONC-NSHDSACASA-N,291327.87,-5.7
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,415684.09,-8.0
UDMBCSSLTHHNCD-KQYNXXCUSA-N,449705.6,-7.5
KRMDCWKBEZIMAB-UHFFFAOYSA-N,802641.92,-8.0
NJCJBUHJQLFDSW-UHFFFAOYSA-N,564731.73,-7.6
