ligand,binding score,energy
GZUITABIAKMVPG-UHFFFAOYSA-N,389422.48,-8.7
NETZHAKZCGBWSS-CEDHKZHLSA-N,289056.77,-7.2
IMYZQPCYWPFTAG-YWVKMMECSA-N,561881.68,-5.2
FEWJPZIEWOKRBE-JCYAYHJZSA-N,268803.9,-6.7
LGAJOMLFGCSBFF-OLXDQKQCSA-N,333034.03,-8.6
WOFMFGQZHJDGCX-ZULDAHANSA-N,462944.99,-8.2
AJOQSQHYDOFIOX-SECBINFHSA-N,199616.19,-7.2
BUGYDGFZZOZRHP-CDECOKDKSA-N,670634.58,-5.0
OIRCOABEOLEUMC-GEJPAHFPSA-N,623910.53,-1.6
KWGRBVOPPLSCSI-WPRPVWTQSA-N,310384.51,-6.0
LEVWYRKDKASIDU-IMJSIDKUSA-N,1808972.13,-6.3
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1193792.93,-6.0
HJPHIJVSRJVAGC-SSDOTTSWSA-N,811652.92,-4.9
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1256564.74,-5.8
SLYPOVJCSQHITR-UHFFFAOYSA-N,610366.36,-6.7
BMOVQUBVGICXQN-MKPDMIMOSA-N,784761.29,-7.2
PVHUJELLJLJGLN-INIZCTEOSA-N,1130885.47,-7.0
VWVSBHGCDBMOOT-IIEHVVJPSA-N,323009.01,-7.8
FBPFZTCFMRRESA-JGWLITMVSA-N,303593.13,-6.3
WWZKQHOCKIZLMA-UHFFFAOYSA-N,252194.67,-6.0
JFPVXVDWJQMJEE-IZRZKJBUSA-N,841886.83,-7.9
LCAAMXMULMCKLJ-UHFFFAOYSA-N,651594.52,-7.7
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1078448.26,-5.4
DKGZKTPJOSAWFA-UHFFFAOYSA-N,291509.64,-9.1
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,365954.64,-8.9
QTQPVLDZQVPLGV-AWEZNQCLSA-N,411397.28,-7.1
PFTAWBLQPZVEMU-DZGCQCFKSA-N,665354.77,-7.5
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,382172.98,-7.1
PAZJSJFMUHDSTF-AWEZNQCLSA-N,986411.85,-6.0
NJCJBUHJQLFDSW-UHFFFAOYSA-N,539254.16,-6.9
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1090396.01,-7.0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,925747.78,-6.8
WDICTQVBXKADBP-UHFFFAOYSA-N,365689.54,-7.0
UDMBCSSLTHHNCD-KQYNXXCUSA-N,320402.54,-8.7
KRMDCWKBEZIMAB-UHFFFAOYSA-N,501682.15,-7.4
YMFIJXDFAPHJIN-SECBINFHSA-N,630609.08,-6.1
XCPGHVQEEXUHNC-UHFFFAOYSA-N,777715.84,-8.6
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1005340.56,-8.4
TZADDXVKYWMEHX-YFKPBYRVSA-N,1237350.7,-5.2
YFDSDPIBEUFTMI-UHFFFAOYSA-N,224492.23,-4.3
PYVUMAGVCSQCBD-RFAUZJTJSA-N,634075.82,-8.3
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1218213.27,-4.9
XXVROGAVTTXONC-NSHDSACASA-N,222259.41,-6.2
HTJXMOGUGMSZOG-UHFFFAOYSA-N,634504.76,-7.2
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,745970.82,-8.3
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,290313.09,-6.9
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1058918.36,-6.3
AKUJBENLRBOFTD-QZIXMDIESA-N,657755.13,-8.2
YGCODSQDUUUKIV-UHFFFAOYSA-N,372642.06,-6.3
OUDSBRTVNLOZBN-UHFFFAOYSA-N,876977.7,-7.4
KAJZGRFYZKWYDX-UHFFFAOYSA-N,744425.16,-7.1
XRQDFNLINLXZLB-CKIKVBCHSA-N,976226.09,-6.9
LOUPRKONTZGTKE-WZBLMQSHSA-N,613326.11,-7.6
CDAISMWEOUEBRE-GPIVLXJGSA-N,336692.68,-6.3
JBACAGZMXLDQCR-UHFFFAOYSA-N,1124502.99,-6.5
RUOKEQAAGRXIBM-GFCCVEGCSA-N,642719.39,-7.2
RGHNJXZEOKUKBD-SQOUGZDYSA-N,271894.61,-6.5
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1161352.66,-6.1
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,188027.83,-1.1
JZRWCGZRTZMZEH-UHFFFAOYSA-N,82602.21,-6.0
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1921811.06,-6.5
ATXHVCQZZJYMCF-XUDSTZEESA-N,331326.5,-6.6
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1246243.51,-8.8
FFINMCNLQNTKLU-UHFFFAOYSA-N,1240272.31,-7.1
HTQBXNHDCUEHJF-XWLPCZSASA-N,382851.81,-2.3
UMSGKTJDUHERQW-UHFFFAOYSA-N,983329.6,-7.1
AIZFEOPQVZBNGH-UHFFFAOYSA-N,385853.58,-7.5
IVVNZDGDKPTYHK-JTQLQIEISA-N,535654.64,-6.0
MKKYBZZTJQGVCD-XTCKQBCOSA-N,696813.92,-7.8
YEHCICAEULNIGD-MZMPZRCHSA-N,485633.02,-7.5
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,974693.75,-7.2
VXOWJCTXWVWLLC-REGDIAEZSA-N,783024.97,-7.9
CUWODFFVMXJOKD-UVLQAERKSA-N,1006332.36,-1.1
UJEWTUDSLQGTOA-UHFFFAOYSA-N,818463.4,-6.7
IQADUMSPOQKAAO-UHFFFAOYSA-N,1160848.62,-6.3
PMMYEEVYMWASQN-DMTCNVIQSA-N,396801.67,-6.3
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1037117.07,-6.1
WVAKABMNNSMCDK-UHFFFAOYSA-N,1046300.1,-7.1
MCYHPZGUONZRGO-VKHMYHEASA-N,291969.88,-4.5
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1040549.63,-6.8
JYGXADMDTFJGBT-VWUMJDOOSA-N,1121410.86,-7.5
BYPIURIATSUHDW-SNVBAGLBSA-N,757454.49,-7.1
DCPACFSINCUFEC-CYBMUJFWSA-N,564646.59,-7.8
VQHSOMBJVWLPSR-JVCRWLNRSA-N,310478.55,-6.4
BAPRUDZDYCKSOQ-RITPCOANSA-N,202056.36,-5.8
NIJJYAXOARWZEE-UHFFFAOYSA-N,1239481.42,-6.1
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,452696.09,-6.7
QYKIQEUNHZKYBP-UHFFFAOYSA-N,1930199.31,-3.5
YRIZYWQGELRKNT-UHFFFAOYSA-N,1229131.7,-5.3
AGPKZVBTJJNPAG-WHFBIAKZSA-N,323273.01,-5.9
GZENKSODFLBBHQ-ILSZZQPISA-N,603465.46,-7.7
OVJJILSKYWXGBM-GFCCVEGCSA-N,388758.38,-6.6
OAYRYNVEFFWSHK-UHFFFAOYSA-N,549476.7,-7.0
RZVPBGBYGMDSBG-GGAORHGYSA-N,630201.68,-8.2
XIUUSFJTJXFNGH-OLQVQODUSA-N,749705.06,-4.8
ZKLPARSLTMPFCP-OAQYLSRUSA-N,911042.49,-7.8
NPOAOTPXWNWTSH-UHFFFAOYSA-N,206667.79,-6.5
OXFGTKPPFSCSMA-XVKPBYJWSA-N,233720.35,-6.4
WQZGKKKJIJFFOK-PHYPRBDBSA-N,693520.56,-6.9
ZFSXZJXLKAJIGS-UHFFFAOYSA-N,749939.82,-7.4
DYAIAHUQIPBDIP-AXAPSJFSSA-N,880188.53,-9.0
HEBKCHPVOIAQTA-SCDXWVJYSA-N,382779.71,-6.1
DQDAYGNAKTZFIW-CYBMUJFWSA-N,1037372.69,-7.8
JXZZEXZZKAWDSP-UHFFFAOYSA-N,616059.22,-8.5
FVRWRGBTEHAPDI-OAHLLOKOSA-N,487218.01,-6.8
FHXBMXJMKMWVRG-SLHNCBLASA-N,669831.31,-7.2
JXLYSJRDGCGARV-CFWMRBGOSA-N,467512.3,-5.9
HJJRIJDTIPFROI-NVKITGPLSA-N,277846.55,-7.8
MBBZMMPHUWSWHV-BDVNFPICSA-N,255790.59,-6.4
CMCCHHWTTBEZNM-SCSAIBSYSA-N,255345.24,-5.9
ANGKOCUUWGHLCE-IEBWSBKVSA-N,780082.66,-7.4
ALAXZYHFVBSJKZ-UHFFFAOYSA-N,932736.06,-8.8
QOYHHIBFXOOADH-UHFFFAOYSA-N,537359.62,-9.3
ZPMKQFOGINQDAM-UHFFFAOYSA-N,285672.97,-8.2
XDVCLKFLRAWGIT-ADOAZJKMSA-N,358665.14,-8.9
UVAZQQHAVMNMHE-XJKSGUPXSA-N,752674.59,-6.4
OVRNDRQMDRJTHS-FMDGEEDCSA-N,623637.21,-6.1
YTKUWDBFDASYHO-UHFFFAOYSA-N,1180270.27,-6.2
VDUWPHTZYNWKRN-UHFFFAOYSA-N,704250.65,-6.9
PWNMXPDKBYZCOO-NSHDSACASA-N,710940.59,-8.5
MSYKRHVOOPPJKU-BDAKNGLRSA-N,859302.39,-7.2
HJBWBFZLDZWPHF-UHFFFAOYSA-N,734592.39,-9.0
SFZCNBIFKDRMGX-UHFFFAOYSA-N,1873273.0,-0.9
GIJXKZJWITVLHI-PMOLBWCYSA-N,89388.06,-7.1
BDJRBEYXGGNYIS-UHFFFAOYSA-N,54095.69,-6.7
FKDHHVKWGRFRTG-VOTSOKGWSA-N,118199.18,-6.7
ORTQZVOHEJQUHG-UHFFFAOYSA-L,75388.19,-2.5
AYFVYJQAPQTCCC-GBXIJSLDSA-N,164766.65,-6.0
WVDDGKGOMKODPV-UHFFFAOYSA-N,87660.24,-5.7
LKACJLUUJRMGFK-UHFFFAOYSA-N,158422.2,-4.8
YWXYYJSYQOXTPL-SLPGGIOYSA-N,72790.14,-6.4
GLVAUDGFNGKCSF-UHFFFAOYSA-N,148814.59,-5.4
KYAKGJDISSNVPZ-UHFFFAOYSA-N,255387.95,-8.1
PEDCQBHIVMGVHV-UHFFFAOYSA-N,96270.23,-4.6
PTKSEFOSCHHMPD-SNVBAGLBSA-N,51084.58,-6.4
PMRYVIKBURPHAH-UHFFFAOYSA-N,124221.87,-4.3
OCAXFDULERPAJM-BQJUDKOJSA-N,115979.36,-7.8
IKYIXZSIKOYSLD-NSHDSACASA-N,84677.83,-7.6
IBAQFPQHRJAVAV-ULAWRXDQSA-N,107038.92,-5.0
XVQUOJBERHHONY-SECBINFHSA-N,68657.93,-5.5
FFKUDWZICMJVPA-UHFFFAOYSA-N,95683.06,-7.2
KZTZJUQNSSLNAG-UHFFFAOYSA-N,177232.91,-4.7
XRVCFZPJAHWYTB-UHFFFAOYSA-N,162615.88,-5.6
OUYCCCASQSFEME-QMMMGPOBSA-N,83148.04,-7.4
PYAOPMWCFSVFOT-UHFFFAOYSA-N,42913.96,-5.6
BZQFBWGGLXLEPQ-REOHCLBHSA-N,110415.65,-6.5
NMCUIPGRVMDVDB-UHFFFAOYSA-L,118804.34,-2.5
KDXKERNSBIXSRK-YFKPBYRVSA-N,129191.46,-6.1
MVQVNTPHUGQQHK-UHFFFAOYSA-N,114295.08,-5.5
FDMBBCOBEAVDAO-AWEZNQCLSA-N,64050.06,-6.3
FZERHIULMFGESH-UHFFFAOYSA-N,93173.33,-6.3
NWVVVBRKAWDGAB-UHFFFAOYSA-N,79986.14,-5.8
CYTYCFOTNPOANT-UHFFFAOYSA-N,111822.11,-3.9
NZLVRVYNQYGMAB-UHFFFAOYSA-N,253438.11,-7.4
XSQUKJJJFZCRTK-OUBTZVSYSA-N,75984.87,-3.7
SPAGIJMPHSUYSE-UHFFFAOYSA-N,124019.83,-3.1
YDDUMTOHNYZQPO-RVXRWRFUSA-N,81858.81,-9.3
XULACPAEUUWKFX-UHFFFAOYSA-N,55004.75,-7.7
PBAPPPCECJKMCM-IBGZPJMESA-N,278108.03,-7.6
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,234038.97,-10.0
DIDCGVRALANKIU-OTEFFYEFSA-N,121169.72,-0.8
MTTYXGPMZKRTCI-VIFPVBQESA-N,177841.99,-7.4
ZKLPARSLTMPFCP-NRFANRHFSA-N,86760.26,-7.3
ARHWPKZXBHOEEE-UHFFFAOYSA-N,93489.89,-6.3
VUFOCTSXHUWGPW-QHCPKHFHSA-N,80963.29,-7.0
KSUUMAWCGDNLFK-SSDOTTSWSA-N,71083.12,-5.8
BDERNNFJNOPAEC-UHFFFAOYSA-N,117353.92,-3.5
CKLJMWTZIZZHCS-REOHCLBHSA-N,119792.39,-6.3
UKMSUNONTOPOIO-UHFFFAOYSA-N,71678.16,-5.6
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,157521.85,-6.7
SSLKKMZJCJBOML-UHFFFAOYSA-N,92350.77,-5.8
