ligand,E1,E2,E3
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.1,-3.8,-3.9
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.3,-4.0,-4.3
KWIUHFFTVRNATP-UHFFFAOYSA-N,-4.0,-3.7,-3.5
POJWUDADGALRAB-SFOWXEAESA-N,-5.6,-5.6,-5.8
RTRQQBHATOEIAF-UUOKFMHZSA-N,-6.4,-7.0,-6.6
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.1,-6.6,-7.4
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.0,-7.3,-7.0
XEFQLINVKFYRCS-UHFFFAOYSA-N,-6.1,-6.9,-7.0
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-4.2,-4.2,-3.9
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.5,-4.2,-4.5
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-6.9,-7.1,-8.4
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-7.0,-7.2,-7.9
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,-2.9,-2.9
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-7.0,-7.8,-7.2
CVSVTCORWBXHQV-UHFFFAOYSA-N,-4.9,-5.1,-4.8
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.2,-6.7,-7.3
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-6.4,-6.8,-7.8
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.7,-4.5,-4.7
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-3.3,-3.4,-3.1
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-5.8,-6.3,-6.7
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-4.6,-4.6,-4.6
FBPFZTCFMRRESA-KVTDHHQDSA-N,-4.6,-5.2,-5.1
XBJWOGLKABXFJE-YFKPBYRVSA-N,-5.3,-5.1,-5.4
XXEPPPIWZFICOJ-NSHDSACASA-N,-5.3,-6.1,-6.2
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-5.4,-5.9,-5.9
