ligand,E1,E2,E3
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-6.5,-7.1,-7.9
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.0,-7.3,-7.0
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-5.8,-6.3,-6.7
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.1,-3.8,-3.8
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-4.6,-4.6,-4.6
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,-2.9,-2.8
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-6.5,-6.8,-7.8
FBPFZTCFMRRESA-KVTDHHQDSA-N,-5.1,-5.2,-5.0
XEFQLINVKFYRCS-UHFFFAOYSA-N,-6.1,-6.9,-7.0
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.5,-4.5,-4.7
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-3.3,-3.4,-3.1
RTRQQBHATOEIAF-UUOKFMHZSA-N,-6.4,-7.0,-6.6
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.3,-4.0,-4.3
POJWUDADGALRAB-SFOWXEAESA-N,-5.6,-5.6,-5.8
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-6.8,-7.0,-8.3
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-4.2,-4.2,-3.9
XXEPPPIWZFICOJ-NSHDSACASA-N,-5.4,-6.1,-6.2
CVSVTCORWBXHQV-UHFFFAOYSA-N,-4.9,-5.1,-4.9
KWIUHFFTVRNATP-UHFFFAOYSA-N,-4.0,-3.7,-3.5
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-5.5,-5.3,-5.7
XBJWOGLKABXFJE-YFKPBYRVSA-N,-5.3,-5.1,-5.4
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.1,-6.6,-7.4
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-7.0,-7.8,-6.8
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.5,-4.1,-4.5
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.2,-6.7,-7.1
