ligand,E1,E2,E3
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-7.3,-6.0,-5.5
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.4,-5.6,-5.7
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.4,-4.7,-4.2
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.9,-5.3,-5.7
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,-6.1,-5.3
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.8,-5.8,-5.6
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.3,-5.6,-5.0
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.6,-5.2,-6.0
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.5,-3.9,-3.5
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-7.1,-5.5,-5.1
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.7,-7.0,-6.2
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.7,-5.4,-5.8
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.3,-7.0,-6.6
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.9,-4.9,-4.7
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-9.2,-7.8,-6.5
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.3,-5.4,-5.7
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.9,-5.8,-5.5
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.8,-6.7,-6.0
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.9,-5.2,-4.6
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.7,-6.6,-5.6
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.2,-5.7,-4.5
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.2,-4.9,-5.0
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.4,-4.7,-4.4
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.2,-5.3,-5.8
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.8,-6.2,-6.0
