ligand,binding score,energy
WOFMFGQZHJDGCX-ZULDAHANSA-N,481443.83,-8.1
WWZKQHOCKIZLMA-UHFFFAOYSA-N,204207.58,-5.0
JFPVXVDWJQMJEE-IZRZKJBUSA-N,876896.48,-7.7
NETZHAKZCGBWSS-CEDHKZHLSA-N,301658.8,-8.2
FBPFZTCFMRRESA-JGWLITMVSA-N,205772.73,-5.4
FEWJPZIEWOKRBE-JCYAYHJZSA-N,230850.27,-4.8
VWVSBHGCDBMOOT-IIEHVVJPSA-N,335996.89,-9.0
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1297342.92,-6.2
KWGRBVOPPLSCSI-WPRPVWTQSA-N,204257.77,-6.0
LEVWYRKDKASIDU-IMJSIDKUSA-N,1852021.13,-5.4
BMOVQUBVGICXQN-MKPDMIMOSA-N,815686.57,-8.4
LGAJOMLFGCSBFF-OLXDQKQCSA-N,355994.87,-8.9
SLYPOVJCSQHITR-UHFFFAOYSA-N,612859.19,-5.9
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1123018.74,-5.1
AJOQSQHYDOFIOX-SECBINFHSA-N,139225.06,-7.3
OIRCOABEOLEUMC-GEJPAHFPSA-N,647627.31,-1.4
GZUITABIAKMVPG-UHFFFAOYSA-N,406503.59,-10.2
HJPHIJVSRJVAGC-SSDOTTSWSA-N,797272.04,-4.1
BUGYDGFZZOZRHP-CDECOKDKSA-N,699365.39,-6.2
PVHUJELLJLJGLN-INIZCTEOSA-N,1165970.46,-7.2
LCAAMXMULMCKLJ-UHFFFAOYSA-N,676931.4,-7.3
DKGZKTPJOSAWFA-UHFFFAOYSA-N,303504.47,-8.9
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,387169.43,-8.6
IMYZQPCYWPFTAG-YWVKMMECSA-N,592148.72,-5.6
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1231019.32,-5.7
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1129466.05,-6.2
KRMDCWKBEZIMAB-UHFFFAOYSA-N,466511.77,-8.0
XCPGHVQEEXUHNC-UHFFFAOYSA-N,808890.75,-8.6
PFTAWBLQPZVEMU-DZGCQCFKSA-N,689449.56,-8.6
YMFIJXDFAPHJIN-SECBINFHSA-N,662164.92,-6.8
HTJXMOGUGMSZOG-UHFFFAOYSA-N,679259.75,-7.4
TZADDXVKYWMEHX-YFKPBYRVSA-N,1323772.47,-5.5
XXVROGAVTTXONC-NSHDSACASA-N,115115.39,-5.8
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1041694.03,-8.3
HNDVDQJCIGZPNO-YFKPBYRVSA-N,964854.89,-5.2
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1128532.42,-7.1
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1257703.07,-4.9
PYVUMAGVCSQCBD-RFAUZJTJSA-N,659104.21,-9.1
YGCODSQDUUUKIV-UHFFFAOYSA-N,397597.07,-6.0
QTQPVLDZQVPLGV-AWEZNQCLSA-N,453817.51,-7.4
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1020163.59,-6.3
YFDSDPIBEUFTMI-UHFFFAOYSA-N,112214.86,-3.7
NJCJBUHJQLFDSW-UHFFFAOYSA-N,562629.06,-7.7
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,305012.64,-6.9
UDMBCSSLTHHNCD-KQYNXXCUSA-N,372307.63,-7.2
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,774225.19,-8.2
AKUJBENLRBOFTD-QZIXMDIESA-N,682240.41,-8.6
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,407076.94,-7.9
WDICTQVBXKADBP-UHFFFAOYSA-N,431597.24,-6.3
JZRWCGZRTZMZEH-UHFFFAOYSA-N,465454.05,-6.3
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1969697.05,-5.2
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,1010132.61,-8.0
OUDSBRTVNLOZBN-UHFFFAOYSA-N,916029.62,-8.1
VXOWJCTXWVWLLC-REGDIAEZSA-N,811503.11,-8.0
CDAISMWEOUEBRE-GPIVLXJGSA-N,310186.51,-5.9
MKKYBZZTJQGVCD-XTCKQBCOSA-N,729050.86,-7.3
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1027822.16,-5.9
FFINMCNLQNTKLU-UHFFFAOYSA-N,1288219.99,-7.6
IVVNZDGDKPTYHK-JTQLQIEISA-N,557314.04,-6.8
HTQBXNHDCUEHJF-XWLPCZSASA-N,449699.02,-2.0
YEHCICAEULNIGD-MZMPZRCHSA-N,505460.02,-7.5
RUOKEQAAGRXIBM-GFCCVEGCSA-N,667738.11,-6.6
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,202422.25,-1.0
XRQDFNLINLXZLB-CKIKVBCHSA-N,1009220.13,-6.7
KAJZGRFYZKWYDX-UHFFFAOYSA-N,770490.91,-6.8
AIZFEOPQVZBNGH-UHFFFAOYSA-N,417831.66,-8.5
LOUPRKONTZGTKE-WZBLMQSHSA-N,651011.85,-8.2
JBACAGZMXLDQCR-UHFFFAOYSA-N,1161327.04,-7.2
UMSGKTJDUHERQW-UHFFFAOYSA-N,1018625.65,-7.4
ATXHVCQZZJYMCF-XUDSTZEESA-N,344324.23,-8.2
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1285112.69,-7.7
RGHNJXZEOKUKBD-SQOUGZDYSA-N,201684.1,-5.5
NPOAOTPXWNWTSH-UHFFFAOYSA-N,137856.1,-5.0
RZVPBGBYGMDSBG-GGAORHGYSA-N,655140.7,-9.2
OVJJILSKYWXGBM-GFCCVEGCSA-N,435538.06,-6.7
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1080775.52,-7.1
AGPKZVBTJJNPAG-WHFBIAKZSA-N,229464.26,-4.8
YRIZYWQGELRKNT-UHFFFAOYSA-N,1290366.47,-5.5
BYPIURIATSUHDW-SNVBAGLBSA-N,786217.97,-7.0
MCYHPZGUONZRGO-VKHMYHEASA-N,168600.2,-3.8
VQHSOMBJVWLPSR-JVCRWLNRSA-N,317638.24,-6.0
DCPACFSINCUFEC-CYBMUJFWSA-N,578188.45,-7.8
CUWODFFVMXJOKD-UVLQAERKSA-N,1040682.46,-1.0
GZENKSODFLBBHQ-ILSZZQPISA-N,630681.27,-8.4
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,474706.31,-7.0
OAYRYNVEFFWSHK-UHFFFAOYSA-N,569719.32,-7.0
IQADUMSPOQKAAO-UHFFFAOYSA-N,1203516.25,-6.8
XIUUSFJTJXFNGH-OLQVQODUSA-N,780073.23,-5.6
WVAKABMNNSMCDK-UHFFFAOYSA-N,1103216.09,-6.6
UJEWTUDSLQGTOA-UHFFFAOYSA-N,850787.06,-7.9
BAPRUDZDYCKSOQ-RITPCOANSA-N,305139.44,-5.6
ZKLPARSLTMPFCP-OAQYLSRUSA-N,970084.67,-7.4
QYKIQEUNHZKYBP-UHFFFAOYSA-N,1966886.05,-3.1
NIJJYAXOARWZEE-UHFFFAOYSA-N,1267304.99,-5.0
PMMYEEVYMWASQN-DMTCNVIQSA-N,418386.09,-5.1
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1083375.81,-7.7
JYGXADMDTFJGBT-VWUMJDOOSA-N,1158143.48,-8.5
FHXBMXJMKMWVRG-SLHNCBLASA-N,696481.6,-8.8
SFZCNBIFKDRMGX-UHFFFAOYSA-N,1914799.22,-0.9
HEBKCHPVOIAQTA-SCDXWVJYSA-N,298889.53,-5.0
PWNMXPDKBYZCOO-NSHDSACASA-N,738499.92,-9.4
UVAZQQHAVMNMHE-XJKSGUPXSA-N,780682.34,-6.5
MBBZMMPHUWSWHV-BDVNFPICSA-N,139224.14,-5.7
YTKUWDBFDASYHO-UHFFFAOYSA-N,1260728.9,-6.7
ALAXZYHFVBSJKZ-UHFFFAOYSA-N,964964.19,-7.8
JXLYSJRDGCGARV-CFWMRBGOSA-N,485736.54,-7.8
MSYKRHVOOPPJKU-BDAKNGLRSA-N,898032.77,-6.0
CMCCHHWTTBEZNM-SCSAIBSYSA-N,141553.13,-5.7
XDVCLKFLRAWGIT-ADOAZJKMSA-N,374091.11,-8.8
ZPMKQFOGINQDAM-UHFFFAOYSA-N,355440.84,-8.2
VDUWPHTZYNWKRN-UHFFFAOYSA-N,744273.4,-7.2
WQZGKKKJIJFFOK-PHYPRBDBSA-N,826889.85,-5.7
DQDAYGNAKTZFIW-CYBMUJFWSA-N,1074456.29,-7.6
JXZZEXZZKAWDSP-UHFFFAOYSA-N,640574.6,-9.7
OXFGTKPPFSCSMA-XVKPBYJWSA-N,183217.61,-6.4
HJBWBFZLDZWPHF-UHFFFAOYSA-N,762378.07,-8.9
OVRNDRQMDRJTHS-FMDGEEDCSA-N,647760.83,-6.4
ANGKOCUUWGHLCE-IEBWSBKVSA-N,810129.78,-8.1
DYAIAHUQIPBDIP-AXAPSJFSSA-N,911091.52,-8.6
FVRWRGBTEHAPDI-OAHLLOKOSA-N,505318.81,-8.0
QOYHHIBFXOOADH-UHFFFAOYSA-N,555548.35,-10.3
HJJRIJDTIPFROI-NVKITGPLSA-N,290686.28,-7.3
ZFSXZJXLKAJIGS-UHFFFAOYSA-N,813562.29,-8.9
