ligand,E1,E2,E3
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.9,-6.8,-6.0
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.4,-5.2,-4.7
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.5,-4.2,-4.5
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.9,-2.8,-3.1
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-5.0,-3.9,-4.1
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.6,-3.9,-4.3
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-8.7,-6.6,-6.0
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-6.4,-5.0,-5.0
HJXMNVQARNZTEE-NSHDSACASA-N,-6.7,-5.9,-5.0
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.2,-3.4,-3.8
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.0,-3.0,-3.4
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.8,-4.4,-4.6
HZTMGWSBSDLALI-UHFFFAOYSA-N,-7.0,-5.5,-5.1
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.5,-6.2,-5.6
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-4.0,-3.2
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.8,-5.2,-4.8
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.4,-4.8,-4.2
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.3,-3.8,-3.4
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.7,-6.3,-5.1
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.9,-4.4,-4.5
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.5,-4.0,-3.5
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.8,-5.0,-5.1
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.6,-3.4,-3.2
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-8.0,-6.4,-5.6
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-7.7,-6.3,-5.8
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.6,-3.5,-4.1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.9,-6.3,-5.7
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.6,-6.9,-5.6
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.7,-5.9,-5.3
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.3,-4.3,-4.3
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.5,-4.3
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.8,-5.5,-5.0
YQGDEPYYFWUPGO-VKHMYHEASA-N,-4.0,-4.5,-4.2
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.3,-5.2,-5.9
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-3.9,-3.8,-4.0
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.7,-4.9,-4.3
BTCSSZJGUNDROE-UHFFFAOYSA-N,-4.0,-4.1,-4.3
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.8,-5.7,-5.8
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-9.7,-7.4,-7.3
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.3,-5.4,-4.4
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.1,-3.5,-3.0
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.8,-5.5,-6.2
PHTMLLGDZBZXMW-AERCQKQUSA-N,-8.1,-6.6,-5.8
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.8,-1.7
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-6.2,-4.8,-4.6
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.9,-5.0,-5.0
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-8.2,-6.6,-5.8
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-2.7,-2.2,-2.9
