ligand,E1,E2,E3
YQGDEPYYFWUPGO-VKHMYHEASA-N,-4.0,-4.5,-4.3
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-9.7,-7.4,-7.3
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.6,-6.9,-5.6
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.6,-3.4,-3.2
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.4,-4.0,-3.5
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.9,-6.8,-5.9
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.7,-5.2,-4.7
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.2,-3.4,-3.8
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.9,-4.4,-4.5
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.2,-3.9,-3.2
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.8,-5.9,-5.3
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.8,-5.7,-5.8
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.5,-4.2,-4.5
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.6,-3.5,-4.1
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.7,-4.2,-4.6
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.7,-4.9,-4.3
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.0,-3.0,-3.4
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.8,-5.0,-5.1
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.5,-5.0,-5.1
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.6,-6.3,-5.1
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.8,-5.7,-5.0
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.4,-5.2,-4.6
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.8,-1.7
BTCSSZJGUNDROE-UHFFFAOYSA-N,-4.0,-4.1,-4.2
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.3,-3.7,-3.4
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.3,-4.3,-4.2
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-4.9,-3.9,-4.1
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.1,-3.6,-3.0
PHTMLLGDZBZXMW-AERCQKQUSA-N,-8.1,-6.6,-5.8
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-8.7,-6.5,-6.0
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-3.9,-3.8,-4.0
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-6.2,-5.0,-5.0
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-2.7,-2.2,-2.9
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.7,-3.9,-4.3
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.8,-5.4,-6.2
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-7.7,-6.3,-5.8
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.5,-4.3
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.3,-5.2,-5.9
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-8.4,-6.5,-5.5
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.4,-6.1,-5.9
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-8.0,-6.5,-5.4
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-6.2,-4.8,-4.6
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.3,-4.8,-4.0
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.3,-5.4,-4.4
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.9,-2.8,-3.1
HZTMGWSBSDLALI-UHFFFAOYSA-N,-7.0,-5.8,-5.1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.8,-6.3,-5.8
HJXMNVQARNZTEE-NSHDSACASA-N,-6.9,-5.9,-5.0
