ligand,E1,E2,E3
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-4.6,-4.6,-4.1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-6.8,-5.7,-8.4
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.1,-5.9,-7.3
KJHOZAZQWVKILO-UHFFFAOYSA-N,-7.3,-6.9,-6.4
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.7,-6.1,-7.6
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-5.4,-5.5,-5.2
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.9,-5.3,-4.6
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-6.3,-6.6,-7.8
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.3,-4.7,-5.9
RMUCZJUITONUFY-UHFFFAOYSA-N,-6.9,-7.0,-6.0
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-3.5,-3.3,-3.5
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-2.0,-2.1,-1.8
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-5.4,-5.8,-5.3
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.2,-5.7,-6.4
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.6,-6.3,-3.9
AEMRFAOFKBGASW-UHFFFAOYSA-N,-4.0,-4.1,-4.1
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-5.5,-5.2,-6.4
FFEARJCKVFRZRR-BYPYZUCNSA-N,-5.0,-5.1,-4.5
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-5.9,-5.2,-6.7
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-7.1,-7.0,-7.4
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-6.6,-5.8,-7.2
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-4.4,-4.3,-4.4
YQGDEPYYFWUPGO-VKHMYHEASA-N,-5.2,-5.0,-4.4
HJXMNVQARNZTEE-NSHDSACASA-N,-6.3,-6.4,-7.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.6,-3.9,-4.5
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-5.5,-5.7,-4.4
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.0,-6.7,-6.2
VVNCNSJFMMFHPL-VKHMYHEASA-N,-5.6,-5.6,-4.7
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.7,-3.6,-4.4
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.8,-5.2,-7.4
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.3,-5.4,-7.2
LTINPJMVDKPJJI-PBXRRBTRSA-N,-5.3,-5.5,-5.4
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-6.5,-7.7,-4.1
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.4,-3.4,-3.2
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-7.3,-6.5,-6.8
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.8,-7.1,-6.6
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.3,-6.5,-6.6
GLUUGHFHXGJENI-UHFFFAOYSA-N,-4.2,-4.2,-3.5
PHTMLLGDZBZXMW-AERCQKQUSA-N,-5.9,-6.4,-7.9
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.4,-5.5,-4.0
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-6.0,-6.6,-6.5
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-4.4,-4.4,-3.9
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-5.3,-5.1,-4.8
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.7,-5.9,-5.5
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-6.7,-6.5,-6.4
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-6.2,-6.1,-6.7
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.9,-3.9,-3.9
BTCSSZJGUNDROE-UHFFFAOYSA-N,-4.5,-4.6,-4.5
