ligand,E1,E2,E3
YMTINGFKWWXKFG-UHFFFAOYSA-N,-8.8,-6.8,-5.6
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.6,-4.2,-4.6
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-6.6,-5.6,-5.1
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.2,-6.2,-5.7
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.9,-4.5,-4.4
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.4,-5.6,-5.3
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.2,-5.3,-5.6
UOMKBIIXHQIERR-UHFFFAOYSA-N,-8.0,-6.9,-5.9
WTDRDQBEARUVNC-LURJTMIESA-N,-6.6,-5.5,-5.9
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.7,-3.7,-3.9
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.9,-3.0,-3.4
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.8,-2.5,-2.9
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-8.0,-6.6,-5.8
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.3,-6.1,-5.1
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.2,-6.6,-5.9
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.2,-5.6,-5.9
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.5,-5.9,-5.5
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.8,-6.7,-5.9
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.4,-6.5,-6.0
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.3,-6.8,-6.3
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.3,-5.5,-5.2
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.6,-5.7,-5.7
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.5,-6.4,-5.2
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.3,-3.3,-4.1
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-6.1,-5.0,-4.8
