ligand,binding score,energy
WOFMFGQZHJDGCX-ZULDAHANSA-N,465378.4,-8.6
LGAJOMLFGCSBFF-OLXDQKQCSA-N,334213.09,-8.4
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,372299.92,-9.0
BMOVQUBVGICXQN-MKPDMIMOSA-N,788353.0,-8.1
AJOQSQHYDOFIOX-SECBINFHSA-N,301858.37,-7.9
OIRCOABEOLEUMC-GEJPAHFPSA-N,627166.3,-1.3
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1201725.27,-6.8
BUGYDGFZZOZRHP-CDECOKDKSA-N,681734.4,-6.9
SLYPOVJCSQHITR-UHFFFAOYSA-N,611725.21,-7.0
HJPHIJVSRJVAGC-SSDOTTSWSA-N,877317.81,-4.8
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1265901.45,-7.2
LCAAMXMULMCKLJ-UHFFFAOYSA-N,654371.57,-8.5
VWVSBHGCDBMOOT-IIEHVVJPSA-N,325261.69,-9.2
PVHUJELLJLJGLN-INIZCTEOSA-N,1139248.88,-7.0
DKGZKTPJOSAWFA-UHFFFAOYSA-N,293079.26,-9.8
FEWJPZIEWOKRBE-JCYAYHJZSA-N,293311.03,-6.2
IMYZQPCYWPFTAG-YWVKMMECSA-N,571033.5,-6.0
WWZKQHOCKIZLMA-UHFFFAOYSA-N,365021.52,-6.5
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1089611.79,-5.8
FBPFZTCFMRRESA-JGWLITMVSA-N,237084.52,-5.9
KWGRBVOPPLSCSI-WPRPVWTQSA-N,372309.37,-6.4
NETZHAKZCGBWSS-CEDHKZHLSA-N,291240.81,-8.7
GZUITABIAKMVPG-UHFFFAOYSA-N,394117.45,-9.0
JFPVXVDWJQMJEE-IZRZKJBUSA-N,849906.13,-8.3
LEVWYRKDKASIDU-IMJSIDKUSA-N,1817281.05,-6.4
AKUJBENLRBOFTD-QZIXMDIESA-N,660970.11,-9.3
XCPGHVQEEXUHNC-UHFFFAOYSA-N,782910.18,-9.7
PFTAWBLQPZVEMU-DZGCQCFKSA-N,664476.24,-8.6
WDICTQVBXKADBP-UHFFFAOYSA-N,427872.25,-7.8
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,387628.12,-7.6
HTJXMOGUGMSZOG-UHFFFAOYSA-N,644728.46,-7.3
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,749911.16,-8.3
YFDSDPIBEUFTMI-UHFFFAOYSA-N,266967.31,-4.2
YGCODSQDUUUKIV-UHFFFAOYSA-N,631193.46,-7.1
XXVROGAVTTXONC-NSHDSACASA-N,247543.18,-5.5
NJCJBUHJQLFDSW-UHFFFAOYSA-N,542832.43,-8.8
TZADDXVKYWMEHX-YFKPBYRVSA-N,1258941.62,-6.6
QTQPVLDZQVPLGV-AWEZNQCLSA-N,425956.58,-8.4
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1014549.34,-8.5
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1117105.51,-7.7
UDMBCSSLTHHNCD-KQYNXXCUSA-N,446894.56,-8.7
PYVUMAGVCSQCBD-RFAUZJTJSA-N,637035.48,-8.8
YMFIJXDFAPHJIN-SECBINFHSA-N,638160.18,-7.8
PAZJSJFMUHDSTF-AWEZNQCLSA-N,989714.05,-7.7
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1094403.8,-7.4
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1227537.28,-5.2
HNDVDQJCIGZPNO-YFKPBYRVSA-N,936050.41,-6.6
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,296955.76,-7.4
KRMDCWKBEZIMAB-UHFFFAOYSA-N,694943.05,-8.2
OUDSBRTVNLOZBN-UHFFFAOYSA-N,888177.61,-9.1
IVVNZDGDKPTYHK-JTQLQIEISA-N,536995.53,-8.4
VXOWJCTXWVWLLC-REGDIAEZSA-N,786482.32,-10.0
YEHCICAEULNIGD-MZMPZRCHSA-N,488505.25,-7.0
CDAISMWEOUEBRE-GPIVLXJGSA-N,412300.65,-6.8
RGHNJXZEOKUKBD-SQOUGZDYSA-N,273468.42,-6.4
FFINMCNLQNTKLU-UHFFFAOYSA-N,1248798.59,-8.4
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1275966.29,-6.6
JBACAGZMXLDQCR-UHFFFAOYSA-N,1130002.24,-8.1
AIZFEOPQVZBNGH-UHFFFAOYSA-N,409578.7,-11.2
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1932557.82,-6.2
RUOKEQAAGRXIBM-GFCCVEGCSA-N,646611.72,-8.0
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,341077.18,-1.1
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,979833.47,-7.7
KAJZGRFYZKWYDX-UHFFFAOYSA-N,750512.29,-7.7
ATXHVCQZZJYMCF-XUDSTZEESA-N,336474.52,-9.6
JZRWCGZRTZMZEH-UHFFFAOYSA-N,98640.74,-6.7
XRQDFNLINLXZLB-CKIKVBCHSA-N,979019.3,-7.3
MKKYBZZTJQGVCD-XTCKQBCOSA-N,704161.27,-7.6
UMSGKTJDUHERQW-UHFFFAOYSA-N,986629.95,-8.8
