ligand,E1,E2,E3
RXTHKWVSXOIHJS-GOSISDBHSA-N,-7.7,-6.2,-5.5
PIJVFDBKTWXHHD-HIFRSBDPSA-N,-7.6,-6.6,-5.7
QRJJEGAJXVEBNE-HKOYGPOVSA-N,-9.0,-6.7,-5.7
XKLMZUWKNUAPSZ-FQEVSTJZSA-N,-8.4,-6.7,-6.6
PPVFOZYARYOARE-UHFFFAOYSA-N,-6.4,-5.2,-4.6
IRVLBORJKFZWMI-PWSUYJOCSA-N,-6.4,-5.2,-4.5
XQFRJNBWHJMXHO-RRKCRQDMSA-N,-6.5,-6.0,-5.6
QFVAWNPSRQWSDU-UHFFFAOYSA-N,-7.6,-6.6,-5.2
JVLBPIPGETUEET-WIXLDOGYSA-O,-7.3,-6.1,-6.1
AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,-7.6,-5.8,-5.5
NRFJZTXWLKPZAV-RXMQYKEDSA-N,-4.9,-4.5,-4.0
QQBDLJCYGRGAKP-UHFFFAOYSA-N,-8.4,-7.3,-6.9
SNHRLVCMMWUAJD-OMPPIWKSSA-N,-7.5,-5.6,-6.2
FFGPTBGBLSHEPO-UHFFFAOYSA-N,-8.6,-7.3,-6.2
IJZUQDQOAFUFJY-UHFFFAOYSA-N,-8.3,-7.5,-6.4
GSVQIUGOUKJHRC-RXMQYKEDSA-N,-5.1,-4.5,-4.9
POZJNEBUHLZROM-GFCCVEGCSA-N,-6.6,-6.3,-5.5
OMDMTHRBGUBUCO-IUCAKERBSA-N,-6.5,-5.2,-5.0
ZBRCAASZBMWIDA-QFPUCQTMSA-N,-7.4,-6.2,-6.0
JMFOSJNGKJCTMJ-ZHZULCJRSA-N,-6.5,-6.8,-5.5
HHHKFGXWKKUNCY-FHWLQOOXSA-N,-7.7,-6.9,-5.9
SZQIFWWUIBRPBZ-SECBINFHSA-N,-7.5,-5.7,-5.1
ASFKKFRSMGBFRO-INIZCTEOSA-N,-9.5,-7.8,-7.2
JWBOIMRXGHLCPP-CYBMUJFWSA-N,-6.3,-5.6,-5.1
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,-5.8,-5.2,-5.7
WNKCJOWTKXGERE-UHFFFAOYSA-N,-6.4,-5.5,-5.9
DUGOZIWVEXMGBE-OLZOCXBDSA-N,-7.3,-5.3,-5.3
GQYIWUVLTXOXAJ-UHFFFAOYSA-N,-6.7,-5.3,-4.9
TZGBBMBARSFJBG-UKTHLTGXSA-N,-8.1,-6.8,-6.3
CFOYWRHIYXMDOT-UHFFFAOYSA-N,-5.3,-4.8,-4.3
GUCKKCMJTSNWCU-BQBZGAKWSA-N,-6.8,-6.3,-5.4
