ligand,binding score,energy
LCAAMXMULMCKLJ-UHFFFAOYSA-N,696815.01,-8.1
AJOQSQHYDOFIOX-SECBINFHSA-N,215146.39,-6.8
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,391291.07,-7.9
IMYZQPCYWPFTAG-YWVKMMECSA-N,600850.31,-5.0
BUGYDGFZZOZRHP-CDECOKDKSA-N,717470.82,-5.9
LEVWYRKDKASIDU-IMJSIDKUSA-N,1893692.35,-5.2
LGAJOMLFGCSBFF-OLXDQKQCSA-N,361155.99,-9.1
FBPFZTCFMRRESA-JGWLITMVSA-N,286896.28,-5.1
OIRCOABEOLEUMC-GEJPAHFPSA-N,665700.67,-1.3
WOFMFGQZHJDGCX-ZULDAHANSA-N,495609.34,-7.1
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1326156.47,-5.7
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1260715.42,-6.1
WWZKQHOCKIZLMA-UHFFFAOYSA-N,283826.91,-4.7
JFPVXVDWJQMJEE-IZRZKJBUSA-N,897487.95,-7.8
SLYPOVJCSQHITR-UHFFFAOYSA-N,647724.31,-5.7
PVHUJELLJLJGLN-INIZCTEOSA-N,1198609.89,-6.2
KWGRBVOPPLSCSI-WPRPVWTQSA-N,274302.31,-5.3
BMOVQUBVGICXQN-MKPDMIMOSA-N,837603.42,-6.9
FEWJPZIEWOKRBE-JCYAYHJZSA-N,302938.92,-5.1
HJPHIJVSRJVAGC-SSDOTTSWSA-N,862527.93,-4.7
GZUITABIAKMVPG-UHFFFAOYSA-N,418794.22,-8.4
NETZHAKZCGBWSS-CEDHKZHLSA-N,310906.27,-8.6
DKGZKTPJOSAWFA-UHFFFAOYSA-N,313056.97,-8.5
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1141315.16,-5.6
VWVSBHGCDBMOOT-IIEHVVJPSA-N,345875.79,-7.5
HTJXMOGUGMSZOG-UHFFFAOYSA-N,679509.53,-7.3
PYVUMAGVCSQCBD-RFAUZJTJSA-N,677384.43,-8.2
XXVROGAVTTXONC-NSHDSACASA-N,189306.95,-5.8
UDMBCSSLTHHNCD-KQYNXXCUSA-N,380351.55,-7.5
YGCODSQDUUUKIV-UHFFFAOYSA-N,427991.99,-6.1
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1068486.86,-6.7
HNDVDQJCIGZPNO-YFKPBYRVSA-N,983641.34,-5.3
WDICTQVBXKADBP-UHFFFAOYSA-N,404244.66,-5.9
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1286337.48,-4.6
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,312131.06,-7.0
KRMDCWKBEZIMAB-UHFFFAOYSA-N,553514.58,-7.4
YFDSDPIBEUFTMI-UHFFFAOYSA-N,219701.6,-3.2
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,410109.64,-7.7
QTQPVLDZQVPLGV-AWEZNQCLSA-N,442031.91,-7.0
NJCJBUHJQLFDSW-UHFFFAOYSA-N,577798.33,-7.6
YMFIJXDFAPHJIN-SECBINFHSA-N,674745.27,-6.1
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1156655.91,-7.9
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1046915.99,-5.8
TZADDXVKYWMEHX-YFKPBYRVSA-N,1312398.69,-5.5
AKUJBENLRBOFTD-QZIXMDIESA-N,701346.7,-8.1
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1130507.46,-5.9
